TP_COR_RACA,TP_SEXO,NU_IDADE,IN_RESERVA_ETNICO,IN_RESERVA_ENSINO_PUBLICO,IN_RESERVA_RENDA_FAMILIAR,IN_APOIO_SOCIAL,IN_ATIVIDADE_EXTRACURRICULAR,TP_ESCOLA_CONCLUSAO_ENS_MEDIO,TP_SITUACAO
0,2,21,0,1,0,0,0,1,Cursando
1,1,20,0,1,0,0,0,1,Cursando
1,2,25,0,1,0,0,0,1,Cursando
1,1,19,0,1,0,0,0,1,Cursando
3,1,52,0,1,0,0,0,1,Cursando
1,2,27,0,1,0,0,1,1,Cursando
1,1,31,0,1,0,0,0,1,formado
3,2,30,0,1,0,0,0,1,formado
3,1,30,0,1,0,0,0,1,formado
1,2,27,0,1,0,0,0,1,Cursando
3,2,37,0,1,0,0,0,1,Cursando
3,2,25,0,1,0,0,0,1,Cursando
3,2,24,0,1,0,0,0,1,Cursando
3,2,24,0,1,0,0,1,1,Cursando
3,2,22,0,1,0,0,1,1,Cursando
1,2,23,0,1,0,0,1,1,Cursando
1,2,37,0,1,0,0,0,1,Cursando
1,2,25,0,1,0,0,1,1,Cursando
9,2,36,0,1,0,0,0,1,Cursando
3,1,24,0,1,0,0,1,1,Cursando
1,2,24,0,1,0,0,1,1,formado
3,1,23,0,1,0,0,1,1,Cursando
3,1,27,0,1,0,0,0,1,Cursando
0,2,40,0,1,0,0,0,1,Cursando
3,2,33,0,1,0,0,0,1,Cursando
1,1,22,0,1,0,0,0,1,trancado
3,2,23,0,1,0,0,0,1,Cursando
0,2,22,0,1,0,0,0,1,Cursando
3,2,21,0,1,0,0,1,1,Cursando
0,1,22,0,1,0,0,0,1,Cursando
1,2,21,0,1,0,0,0,1,Cursando
3,2,22,0,1,0,0,1,1,Cursando
3,1,23,0,1,0,0,0,1,Cursando
3,2,21,0,1,0,0,0,1,Cursando
0,1,20,0,1,0,0,0,1,Cursando
0,2,22,0,1,0,0,0,1,Cursando
3,1,22,0,1,0,0,0,1,Cursando
3,2,21,0,1,0,0,0,1,Cursando
3,2,26,0,1,0,0,0,1,Cursando
3,2,35,0,1,0,0,0,1,formado
2,2,33,0,1,0,0,0,1,Cursando
3,1,25,0,1,0,0,0,1,Cursando
4,1,26,0,1,0,0,0,1,Cursando
3,1,36,0,1,0,0,0,1,Cursando
0,2,40,0,1,0,0,0,1,Cursando
9,2,29,0,1,0,0,0,1,Cursando
3,2,27,0,1,0,0,0,1,formado
1,1,27,0,1,0,0,0,1,formado
1,2,26,0,1,0,0,0,1,Cursando
2,2,37,0,1,0,0,0,1,formado
1,2,31,0,1,0,0,1,1,Cursando
2,2,35,0,1,0,0,0,1,Cursando
2,2,30,0,1,0,0,0,1,Cursando
3,2,26,0,1,0,0,0,1,Cursando
1,2,31,0,1,0,0,0,1,Cursando
0,2,46,0,1,0,0,0,1,Cursando
9,2,33,0,1,0,0,0,1,Cursando
3,2,25,0,1,0,0,0,1,Cursando
3,1,24,0,1,0,0,1,1,Cursando
3,2,25,0,1,0,0,0,1,Cursando
3,1,22,0,1,0,0,0,1,Cursando
1,2,30,0,1,0,0,0,1,Cursando
3,2,40,0,1,0,0,1,1,Cursando
9,1,37,0,1,0,0,0,1,Cursando
1,2,35,0,1,0,0,0,1,formado
3,2,22,0,1,0,0,1,1,formado
2,1,25,0,1,0,0,0,1,Cursando
1,2,45,0,1,0,0,0,1,Cursando
9,1,22,0,1,0,0,1,1,Cursando
3,1,23,0,1,0,0,1,1,Cursando
3,1,23,0,1,0,0,0,1,formado
9,1,24,0,1,0,0,0,1,Cursando
1,2,22,0,1,0,0,1,1,formado
1,2,23,0,1,0,0,0,1,Cursando
3,1,23,0,1,0,0,0,1,Cursando
3,2,21,0,1,0,0,0,1,Cursando
3,2,27,0,1,0,0,0,1,Cursando
3,2,21,0,1,0,0,0,1,Cursando
3,1,32,0,1,0,0,0,1,Cursando
1,2,33,0,1,0,0,0,1,Cursando
0,2,22,0,1,0,0,0,1,Cursando
3,1,26,0,1,0,0,0,1,Cursando
1,1,25,0,1,0,0,0,1,Cursando
1,2,21,0,1,0,0,0,1,Cursando
3,2,25,0,1,0,0,0,1,Cursando
2,2,23,0,1,0,0,0,1,Cursando
3,1,22,0,1,0,0,0,1,Cursando
3,2,21,0,1,0,0,0,1,evadido
3,1,22,0,1,0,0,0,1,Cursando
3,2,21,0,1,0,0,0,1,Cursando
1,2,22,0,1,0,0,0,1,Cursando
3,2,21,0,1,0,0,1,1,Cursando
1,1,23,0,1,0,0,0,1,Cursando
1,2,22,0,1,0,0,0,1,Cursando
3,2,22,0,1,0,0,0,1,evadido
0,2,23,0,1,0,0,0,1,Cursando
2,2,22,0,1,0,0,0,1,Cursando
3,2,22,0,1,0,0,1,1,Cursando
0,1,22,0,1,0,0,0,1,Cursando
3,2,21,0,1,0,0,0,1,evadido
3,1,21,0,1,0,0,0,1,Cursando
1,2,20,0,1,0,0,0,1,Cursando
3,1,21,0,1,0,0,0,1,Cursando
3,1,22,0,1,0,0,1,1,Cursando
3,2,22,0,1,0,0,1,1,Cursando
3,1,21,0,1,0,0,0,1,Cursando
3,2,21,0,1,0,0,0,1,Cursando
3,1,21,0,1,0,0,0,1,Cursando
3,1,21,0,1,0,0,0,1,Cursando
1,2,22,0,1,0,0,0,1,Cursando
1,2,21,0,1,0,0,0,1,Cursando
3,2,21,0,1,0,0,0,1,Cursando
1,2,20,0,1,0,0,1,1,Cursando
3,1,21,0,1,0,0,0,1,Cursando
3,2,22,0,1,0,0,0,1,Cursando
3,2,22,0,1,0,0,1,1,Cursando
3,2,21,0,1,0,0,1,1,Cursando
3,1,30,0,1,0,0,0,1,Cursando
3,1,27,0,1,0,0,1,1,formado
3,2,28,0,1,0,0,1,1,formado
1,1,28,0,1,0,0,0,1,Cursando
1,1,27,0,1,0,0,0,1,formado
2,2,32,0,1,0,0,0,1,Cursando
3,1,26,0,1,0,0,0,1,formado
3,2,24,0,1,0,0,0,1,Cursando
3,1,27,0,1,0,0,0,1,Cursando
4,2,27,0,1,0,0,1,1,Cursando
3,1,22,0,1,0,0,1,1,Cursando
3,1,22,0,1,0,0,1,1,formado
0,2,24,0,1,0,0,1,1,Cursando
2,2,28,0,1,0,0,0,1,Cursando
1,2,22,0,1,0,0,1,1,formado
3,2,36,0,1,0,0,0,1,Cursando
1,2,22,0,1,0,0,1,1,formado
3,2,25,0,1,0,0,1,1,formado
3,2,22,0,1,0,0,0,1,trancado
3,2,21,0,1,0,0,1,1,formado
9,1,23,0,1,0,0,1,1,Cursando
3,1,22,0,1,0,0,1,1,formado
3,1,23,0,1,0,0,1,1,Cursando
1,1,39,0,1,0,0,0,1,Cursando
1,2,32,0,1,0,0,0,1,Cursando
3,2,33,0,1,0,0,1,1,Cursando
0,1,28,0,1,0,0,0,1,Cursando
3,1,30,0,1,0,0,0,1,Cursando
3,1,30,0,1,0,0,0,1,Cursando
3,2,27,0,1,0,0,1,1,Cursando
3,1,21,0,1,0,0,0,1,Cursando
3,2,29,0,1,0,0,0,1,Cursando
0,1,24,0,1,0,0,0,1,evadido
1,1,21,0,1,0,0,1,1,Cursando
1,1,21,0,1,0,0,0,1,Cursando
0,1,21,0,1,0,0,0,1,trancado
3,1,22,0,1,0,0,0,1,Cursando
2,2,24,0,1,0,0,1,1,Cursando
3,1,24,0,1,0,0,1,1,Cursando
1,1,23,0,1,0,0,0,1,Cursando
0,1,24,0,1,0,0,1,1,Cursando
3,1,21,0,1,0,0,1,1,Cursando
3,1,21,0,1,0,0,0,1,evadido
3,2,22,0,1,0,0,0,1,Cursando
3,2,24,0,1,0,0,1,1,Cursando
3,2,21,0,1,0,0,1,1,Cursando
2,1,21,0,1,0,0,1,1,Cursando
3,1,22,0,1,0,0,1,1,Cursando
3,2,22,0,1,0,0,1,1,Cursando
3,1,21,0,1,0,0,1,1,Cursando
3,1,22,0,1,0,0,0,1,Cursando
1,1,21,0,1,0,0,1,1,Cursando
3,1,22,0,1,0,0,1,1,Cursando
1,1,21,0,1,0,0,0,1,Cursando
1,1,21,0,1,0,0,1,1,Cursando
4,2,22,0,1,0,0,0,1,evadido
3,1,21,0,1,0,0,0,1,evadido
3,2,21,0,1,0,0,0,1,evadido
0,1,22,0,1,0,0,0,1,Cursando
1,2,21,0,1,0,0,0,1,Cursando
0,1,22,0,1,0,0,0,1,Cursando
0,2,22,0,1,0,0,1,1,Cursando
2,2,44,0,1,0,0,0,1,evadido
3,2,27,0,1,0,0,0,1,Cursando
1,1,29,0,1,0,0,0,1,evadido
3,1,27,0,1,0,0,0,1,formado
3,2,40,0,1,0,0,0,1,evadido
3,1,35,0,1,0,0,0,1,Cursando
3,2,31,0,1,0,0,0,1,Cursando
3,1,26,0,1,0,0,0,1,evadido
1,1,25,0,1,0,0,0,1,Cursando
3,1,25,0,1,0,0,0,1,Cursando
1,2,24,0,1,0,0,0,1,evadido
0,1,33,0,1,0,0,0,1,Cursando
3,1,21,0,1,0,0,0,1,Cursando
4,2,22,0,1,0,0,0,1,Cursando
3,1,23,0,1,0,0,1,1,formado
3,1,25,0,1,0,0,0,1,evadido
3,1,26,0,1,0,0,0,1,Cursando
3,1,25,0,1,0,0,0,1,evadido
1,1,36,0,1,0,0,0,1,evadido
3,1,28,0,1,0,0,0,1,evadido
3,1,21,0,1,0,0,0,1,formado
9,1,27,0,1,0,0,0,1,evadido
3,1,23,0,1,0,0,0,1,Cursando
1,1,22,0,1,0,0,0,1,Cursando
1,1,22,0,1,0,0,0,1,trancado
3,1,21,0,1,0,0,0,1,Cursando
3,1,23,0,1,0,0,1,1,Cursando
3,2,22,0,1,0,0,0,1,Cursando
3,1,23,0,1,0,0,0,1,Cursando
1,1,29,0,1,0,0,0,1,evadido
1,1,34,0,1,0,0,0,1,Cursando
3,1,25,0,1,0,0,0,1,Cursando
3,2,36,0,1,0,0,0,1,Cursando
3,2,34,0,1,0,0,0,1,evadido
1,1,35,0,1,0,0,0,1,evadido
3,1,33,0,1,0,0,0,1,Cursando
3,2,24,0,1,0,0,0,1,Cursando
0,1,24,0,1,0,0,0,1,Cursando
1,2,27,0,1,0,0,0,1,evadido
2,2,26,0,1,0,0,0,1,Cursando
3,1,25,0,1,0,0,0,1,Cursando
0,2,25,0,1,0,0,1,1,Cursando
3,2,21,0,1,0,0,1,1,Cursando
3,1,28,0,1,0,0,0,1,evadido
1,2,25,0,1,0,0,0,1,Cursando
1,2,21,0,1,0,0,1,1,Cursando
1,2,23,0,1,0,0,0,1,Cursando
1,2,22,0,1,0,0,1,1,Cursando
1,1,23,0,1,0,0,0,1,Cursando
1,1,24,0,1,0,0,1,1,formado
3,1,24,0,1,0,0,0,1,Cursando
3,2,24,0,1,0,0,1,1,Cursando
3,1,23,0,1,0,0,0,1,Cursando
2,1,23,0,1,0,0,0,1,Cursando
2,2,24,0,1,0,0,1,1,Cursando
2,1,23,0,1,0,0,0,1,Cursando
1,2,21,0,1,0,0,0,1,Cursando
3,1,22,0,1,0,0,0,1,Cursando
1,1,21,0,1,0,0,0,1,Cursando
3,1,22,0,1,0,0,0,1,Cursando
3,1,21,0,1,0,0,1,1,Cursando
3,1,22,0,1,0,0,1,1,Cursando
3,1,22,0,1,0,0,0,1,Cursando
3,1,23,0,1,0,0,0,1,Cursando
3,1,22,0,1,0,0,0,1,Cursando
1,1,22,0,1,0,0,0,1,Cursando
0,1,22,0,1,0,0,0,1,Cursando
3,1,21,0,1,0,0,0,1,Cursando
1,1,57,0,1,0,0,0,1,Cursando
3,1,22,0,1,0,0,0,1,Cursando
3,2,22,0,1,0,0,1,1,formado
2,2,22,0,1,0,0,0,1,Cursando
4,1,20,0,1,0,0,1,1,Cursando
1,2,21,0,1,0,0,0,1,Cursando
2,1,21,0,1,0,0,0,1,Cursando
3,2,28,0,1,0,0,0,1,Cursando
3,2,27,0,1,0,0,1,1,formado
3,2,36,0,1,0,0,1,1,Cursando
3,2,33,0,1,0,0,0,1,Cursando
3,2,31,0,1,0,0,1,1,Cursando
1,2,28,0,1,0,0,0,1,Cursando
0,2,29,0,1,0,0,0,1,Cursando
3,1,24,0,1,0,0,1,1,Cursando
3,1,24,0,1,0,0,1,1,formado
3,2,30,0,1,0,0,1,1,formado
1,1,26,0,1,0,0,0,1,formado
3,2,31,0,1,0,0,1,1,Cursando
0,2,27,0,1,0,0,0,1,Cursando
2,2,32,0,1,0,0,1,1,formado
3,2,26,0,1,0,0,1,1,formado
3,2,40,0,1,0,0,1,1,Cursando
3,2,33,0,1,0,0,1,1,formado
1,2,22,0,1,0,0,1,1,Cursando
1,1,24,0,1,0,0,0,1,formado
2,1,24,0,1,0,0,1,1,Cursando
3,2,23,0,1,0,0,1,1,formado
3,2,21,0,1,0,0,1,1,Cursando
3,2,24,0,1,0,0,1,1,formado
0,2,23,0,1,0,0,0,1,formado
3,2,22,0,1,0,0,0,1,Cursando
1,2,40,0,1,0,0,1,1,Cursando
3,2,35,0,1,0,0,1,1,Cursando
3,2,22,0,1,0,0,0,1,Cursando
0,2,32,0,1,0,0,1,1,Cursando
0,1,29,0,1,0,0,1,1,Cursando
3,1,23,0,1,0,0,0,1,Cursando
1,1,22,0,1,0,0,1,1,Cursando
3,1,27,0,1,0,0,0,1,Cursando
1,2,21,0,1,0,0,1,1,Cursando
0,2,20,0,1,0,0,1,1,Cursando
3,2,23,0,1,0,0,1,1,Cursando
1,1,22,0,1,0,0,1,1,Cursando
3,1,22,0,1,0,0,0,1,Cursando
3,2,23,0,1,0,0,1,1,Cursando
3,2,22,0,1,0,0,1,1,Cursando
1,2,22,0,1,0,0,0,1,Cursando
0,2,24,0,1,0,0,1,1,Cursando
3,1,20,0,1,0,0,0,1,Cursando
0,2,21,0,1,0,0,1,1,Cursando
3,2,23,0,1,0,0,1,1,Cursando
1,2,22,0,1,0,0,0,1,Cursando
4,2,21,0,1,0,0,1,1,Cursando
3,2,50,0,1,0,0,0,1,Cursando
3,2,21,0,1,0,0,1,1,Cursando
2,2,30,0,1,0,0,0,1,evadido
1,2,28,0,1,0,0,0,1,Cursando
3,1,30,0,1,0,0,0,1,evadido
3,2,38,0,1,0,0,0,1,Cursando
3,2,30,0,1,0,0,0,1,Cursando
1,2,28,0,1,0,0,0,1,Cursando
0,2,33,0,1,0,0,0,1,Cursando
3,1,27,0,1,0,0,0,1,Cursando
1,1,30,0,1,0,0,0,1,Cursando
3,1,25,0,1,0,0,0,1,Cursando
3,2,34,0,1,0,0,1,1,Cursando
0,2,32,0,1,0,0,0,1,Cursando
3,1,31,0,1,0,0,0,1,Cursando
1,1,28,0,1,0,0,1,1,Cursando
0,1,25,0,1,0,0,1,1,Cursando
1,2,23,0,1,0,0,0,1,Cursando
3,1,27,0,1,0,0,0,1,Cursando
0,2,30,0,1,0,0,0,1,Cursando
3,2,29,0,1,0,0,1,1,Cursando
3,2,24,0,1,0,0,1,1,Cursando
1,2,25,0,1,0,0,0,1,Cursando
3,1,23,0,1,0,0,1,1,Cursando
3,2,25,0,1,0,0,1,1,Cursando
1,1,24,0,1,0,0,1,1,formado
3,1,24,0,1,0,0,1,1,Cursando
3,1,22,0,1,0,0,0,1,Cursando
3,1,32,0,1,0,0,1,1,Cursando
3,1,22,0,1,0,0,1,1,Cursando
1,1,24,0,1,0,0,1,1,Cursando
3,1,23,0,1,0,0,1,1,Cursando
3,1,22,0,1,0,0,0,1,Cursando
3,2,28,0,1,0,0,0,1,Cursando
0,1,28,0,1,0,0,0,1,Cursando
3,1,24,0,1,0,0,1,1,Cursando
3,2,23,0,1,0,0,0,1,Cursando
1,2,23,0,1,0,0,1,1,Cursando
1,2,26,0,1,0,0,0,1,Cursando
4,2,35,0,1,0,0,0,1,trancado
3,2,22,0,1,0,0,1,1,Cursando
1,1,21,0,1,0,0,0,1,Cursando
4,1,21,0,1,0,0,0,1,Cursando
3,1,21,0,1,0,0,0,1,Cursando
3,1,35,0,1,0,0,1,1,Cursando
3,2,32,0,1,0,0,0,1,Cursando
1,2,34,0,1,0,0,0,1,Cursando
3,1,21,0,1,0,0,1,1,Cursando
1,1,20,0,1,0,0,0,1,Cursando
3,2,23,0,1,0,0,0,1,Cursando
3,2,21,0,1,0,0,0,1,trancado
1,1,23,0,1,0,0,1,1,Cursando
3,1,21,0,1,0,0,0,1,Cursando
1,1,21,0,1,0,0,0,1,Cursando
3,1,20,0,1,0,0,0,1,Cursando
2,1,23,0,1,0,0,0,1,Cursando
1,1,21,0,1,0,0,0,1,Cursando
3,1,22,0,1,0,0,1,1,Cursando
1,2,21,0,1,0,0,1,1,Cursando
1,1,22,0,1,0,0,1,1,Cursando
3,1,23,0,1,0,0,0,1,Cursando
3,2,19,0,1,0,0,0,1,Cursando
3,2,20,0,1,0,0,0,1,Cursando
3,1,21,0,1,0,0,0,1,Cursando
3,2,21,0,1,0,0,0,1,Cursando
3,1,19,0,1,0,0,0,1,Cursando
3,1,21,0,1,0,0,0,1,Cursando
1,2,19,0,1,0,0,0,1,Cursando
3,2,22,0,1,0,0,1,1,evadido
3,1,21,0,1,0,0,0,1,Cursando
3,2,28,0,1,0,0,0,1,trancado
3,1,20,0,1,0,0,0,1,Cursando
3,2,20,0,1,0,0,1,1,Cursando
3,2,21,0,1,0,0,0,1,Cursando
1,2,21,0,1,0,0,1,1,Cursando
3,2,21,0,1,0,0,1,1,Cursando
3,2,20,0,1,0,0,0,1,Cursando
1,1,26,0,1,0,0,0,1,Cursando
1,2,20,0,1,0,0,1,1,Cursando
1,1,19,0,1,0,0,0,1,evadido
3,1,19,0,1,0,0,1,1,Cursando
1,1,21,0,1,0,0,0,1,evadido
1,1,18,0,1,0,0,0,1,Cursando
1,1,19,0,1,0,0,0,1,Cursando
0,1,22,0,1,0,0,0,1,Cursando
0,1,20,0,1,0,0,1,1,Cursando
3,2,20,0,1,0,0,0,1,Cursando
3,1,19,0,1,0,0,0,1,Cursando
3,1,20,0,1,0,0,0,1,Cursando
3,2,18,0,1,0,0,1,1,Cursando
0,1,21,0,1,0,0,0,1,evadido
1,1,20,0,1,0,0,1,1,Cursando
3,1,20,0,1,0,0,0,1,trancado
0,1,20,0,1,0,0,0,1,Cursando
3,2,20,0,1,0,0,0,1,evadido
3,1,20,0,1,0,0,0,1,Cursando
3,2,18,0,1,0,0,0,1,Cursando
3,2,20,0,1,0,0,0,1,Cursando
3,1,20,0,1,0,0,0,1,evadido
3,2,20,0,1,0,0,0,1,Cursando
1,1,18,0,1,0,0,0,1,Cursando
3,2,19,0,1,0,0,0,1,Cursando
3,2,19,0,1,0,0,0,1,Cursando
1,1,32,0,1,0,0,0,1,Cursando
4,1,34,0,1,0,0,0,1,Cursando
1,1,33,0,1,0,0,1,1,Cursando
3,1,29,0,1,0,0,0,1,Cursando
3,1,29,0,1,0,0,1,1,Cursando
3,1,28,0,1,0,0,0,1,formado
3,1,28,0,1,0,0,0,1,Cursando
1,2,40,0,1,0,0,0,1,evadido
1,2,30,0,1,0,0,1,1,Cursando
1,2,24,0,1,0,0,0,1,Cursando
1,2,26,0,1,0,0,0,1,Cursando
0,2,26,0,1,0,0,1,1,Cursando
1,1,41,0,1,0,0,0,1,Cursando
1,1,36,0,1,0,0,0,1,Cursando
1,1,27,0,1,0,0,1,1,Cursando
3,1,25,0,1,0,0,0,1,Cursando
0,2,49,0,1,0,0,0,1,evadido
9,1,23,0,1,0,0,0,1,Cursando
3,1,24,0,1,0,0,1,1,Cursando
3,1,32,0,1,0,0,0,1,Cursando
3,2,25,0,1,0,0,0,1,Cursando
1,1,22,0,1,0,0,1,1,Cursando
1,1,26,0,1,0,0,0,1,Cursando
2,2,22,0,1,0,0,1,1,Cursando
4,1,31,0,1,0,0,1,1,Cursando
3,2,29,0,1,0,0,0,1,evadido
1,2,28,0,1,0,0,0,1,evadido
1,1,25,0,1,0,0,1,1,Cursando
9,1,25,0,1,0,0,0,1,Cursando
2,2,24,0,1,0,0,0,1,Cursando
3,1,47,0,1,0,0,0,1,evadido
4,2,23,0,1,0,0,0,1,Cursando
1,1,36,0,1,0,0,1,1,Cursando
1,2,21,0,1,0,0,0,1,Cursando
3,1,22,0,1,0,0,0,1,Cursando
1,2,22,0,1,0,0,0,1,Cursando
3,1,22,0,1,0,0,1,1,Cursando
0,1,22,0,1,0,0,0,1,Cursando
1,1,22,0,1,0,0,1,1,Cursando
1,1,23,0,1,0,0,1,1,Cursando
3,1,23,0,1,0,0,1,1,Cursando
0,1,23,0,1,0,0,1,1,Cursando
1,1,23,0,1,0,0,1,1,Cursando
3,1,23,0,1,0,0,1,1,Cursando
3,1,22,0,1,0,0,1,1,Cursando
3,1,21,0,1,0,0,0,1,Cursando
3,1,21,0,1,0,0,0,1,Cursando
3,1,22,0,1,0,0,0,1,evadido
4,1,21,0,1,0,0,0,1,Cursando
0,2,22,0,1,0,0,0,1,Cursando
3,2,54,0,1,0,0,0,1,evadido
3,2,21,0,1,0,0,1,1,Cursando
1,2,21,0,1,0,0,0,1,Cursando
3,2,20,0,1,0,0,0,1,evadido
3,1,20,0,1,0,0,0,1,Cursando
1,1,25,0,1,0,0,0,1,Cursando
1,1,38,0,1,0,0,0,1,Cursando
1,1,20,0,1,0,0,1,1,Cursando
3,2,21,0,1,0,0,1,1,Cursando
3,2,22,0,1,0,0,1,1,Cursando
0,1,23,0,1,0,0,1,1,Cursando
1,1,22,0,1,0,0,0,1,trancado
1,2,25,0,1,0,0,0,1,Cursando
4,1,22,0,1,0,0,1,1,Cursando
